Series ID,Year,Period,Label,Value
MPU0072512,2008,A01,2008 Annual,96.073
MPU0072512,2009,A01,2009 Annual,91.413
MPU0072512,2010,A01,2010 Annual,93.543
MPU0072512,2011,A01,2011 Annual,97.226
MPU0072512,2012,A01,2012 Annual,100.000
MPU0072512,2013,A01,2013 Annual,102.084
MPU0072512,2014,A01,2014 Annual,105.688
MPU0072512,2015,A01,2015 Annual,111.010
MPU0072512,2016,A01,2016 Annual,114.278
MPU0072512,2017,A01,2017 Annual,117.688
MPU0072512,2018,A01,2018 Annual,119.895
MPU0072512,2019,A01,2019 Annual,123.351
MPU0072512,2020,A01,2020 Annual,91.346
