Series ID,Year,Period,Label,Value
MPU0011512,2008,A01,2008 Annual,101.050
MPU0011512,2009,A01,2009 Annual,103.114
MPU0011512,2010,A01,2010 Annual,103.603
MPU0011512,2011,A01,2011 Annual,102.423
MPU0011512,2012,A01,2012 Annual,100.000
MPU0011512,2013,A01,2013 Annual,109.037
MPU0011512,2014,A01,2014 Annual,108.007
MPU0011512,2015,A01,2015 Annual,109.015
MPU0011512,2016,A01,2016 Annual,115.147
MPU0011512,2017,A01,2017 Annual,114.540
MPU0011512,2018,A01,2018 Annual,112.627
MPU0011512,2019,A01,2019 Annual,111.444
MPU0011512,2020,A01,2020 Annual,121.887
