Series ID,Sector
MPU0044512,Retail Trade
MPU0011512,"Agriculture, Forestry, Fishing and Hunting"
MPU0021512,Mining
MPU0022512,Utilities
MPU0023512,Construction
MPU9900512,Manufacturing
MPU0042512,Wholesale Trade
MPU0048512,Transportation and Warehousing
MPU0051512,Information
MPU0052512,Finance and Insurance
MPU0531512,Real Estate and Rental and Leasing
MPU0054512,"Professional, Scientific, and Technical Services"
MPU0055512,Management of Companies and Enterprises
MPU0056512,Administrative and Support and Waste Management and Remediation Services
MPU0061512,Educational Services
MPU0062512,Health Care and Social Assistance
MPU0071512,"Arts, Entertainment, and Recreation"
MPU0072512,Accommodation and Food Services
MPU0081512,Other Services (except Public Administration)
