Series ID,Year,Period,Label,Value
MPU0023512,2008,A01,2008 Annual,124.794
MPU0023512,2009,A01,2009 Annual,108.298
MPU0023512,2010,A01,2010 Annual,100.117
MPU0023512,2011,A01,2011 Annual,97.466
MPU0023512,2012,A01,2012 Annual,100.000
MPU0023512,2013,A01,2013 Annual,104.683
MPU0023512,2014,A01,2014 Annual,110.090
MPU0023512,2015,A01,2015 Annual,119.119
MPU0023512,2016,A01,2016 Annual,126.181
MPU0023512,2017,A01,2017 Annual,128.008
MPU0023512,2018,A01,2018 Annual,128.554
MPU0023512,2019,A01,2019 Annual,130.026
MPU0023512,2020,A01,2020 Annual,131.910
