Series ID,Year,Period,Label,Value
MPU0052512,2008,A01,2008 Annual,93.170
MPU0052512,2009,A01,2009 Annual,95.268
MPU0052512,2010,A01,2010 Annual,93.826
MPU0052512,2011,A01,2011 Annual,95.456
MPU0052512,2012,A01,2012 Annual,100.000
MPU0052512,2013,A01,2013 Annual,100.627
MPU0052512,2014,A01,2014 Annual,104.278
MPU0052512,2015,A01,2015 Annual,106.945
MPU0052512,2016,A01,2016 Annual,107.617
MPU0052512,2017,A01,2017 Annual,109.793
MPU0052512,2018,A01,2018 Annual,110.924
MPU0052512,2019,A01,2019 Annual,112.842
MPU0052512,2020,A01,2020 Annual,114.934
