Series ID,Year,Period,Label,Value
MPU0051512,2008,A01,2008 Annual,88.667
MPU0051512,2009,A01,2009 Annual,87.467
MPU0051512,2010,A01,2010 Annual,91.793
MPU0051512,2011,A01,2011 Annual,96.377
MPU0051512,2012,A01,2012 Annual,100.000
MPU0051512,2013,A01,2013 Annual,104.630
MPU0051512,2014,A01,2014 Annual,110.666
MPU0051512,2015,A01,2015 Annual,117.888
MPU0051512,2016,A01,2016 Annual,124.826
MPU0051512,2017,A01,2017 Annual,131.299
MPU0051512,2018,A01,2018 Annual,139.920
MPU0051512,2019,A01,2019 Annual,147.097
MPU0051512,2020,A01,2020 Annual,152.165
