Series ID,Year,Period,Label,Value
MPU9900512,2008,A01,2008 Annual,102.475
MPU9900512,2009,A01,2009 Annual,90.178
MPU9900512,2010,A01,2010 Annual,96.008
MPU9900512,2011,A01,2011 Annual,98.694
MPU9900512,2012,A01,2012 Annual,100.000
MPU9900512,2013,A01,2013 Annual,101.941
MPU9900512,2014,A01,2014 Annual,103.093
MPU9900512,2015,A01,2015 Annual,102.151
MPU9900512,2016,A01,2016 Annual,102.028
MPU9900512,2017,A01,2017 Annual,101.791
MPU9900512,2018,A01,2018 Annual,103.624
MPU9900512,2019,A01,2019 Annual,101.908
MPU9900512,2020,A01,2020 Annual,94.772
