Series ID,Year,Period,Label,Value
MPU0021512,2008,A01,2008 Annual,83.581
MPU0021512,2009,A01,2009 Annual,80.649
MPU0021512,2010,A01,2010 Annual,81.061
MPU0021512,2011,A01,2011 Annual,86.989
MPU0021512,2012,A01,2012 Annual,100.000
MPU0021512,2013,A01,2013 Annual,108.557
MPU0021512,2014,A01,2014 Annual,124.893
MPU0021512,2015,A01,2015 Annual,118.202
MPU0021512,2016,A01,2016 Annual,100.760
MPU0021512,2017,A01,2017 Annual,109.183
MPU0021512,2018,A01,2018 Annual,127.054
MPU0021512,2019,A01,2019 Annual,137.377
MPU0021512,2020,A01,2020 Annual,112.673
