Series ID,Year,Period,Label,Value
MPU0081512,2008,A01,2008 Annual,103.145
MPU0081512,2009,A01,2009 Annual,94.970
MPU0081512,2010,A01,2010 Annual,96.476
MPU0081512,2011,A01,2011 Annual,96.725
MPU0081512,2012,A01,2012 Annual,100.000
MPU0081512,2013,A01,2013 Annual,98.782
MPU0081512,2014,A01,2014 Annual,102.932
MPU0081512,2015,A01,2015 Annual,104.515
MPU0081512,2016,A01,2016 Annual,107.884
MPU0081512,2017,A01,2017 Annual,109.362
MPU0081512,2018,A01,2018 Annual,114.823
MPU0081512,2019,A01,2019 Annual,115.085
MPU0081512,2020,A01,2020 Annual,98.080
