Series ID,Year,Period,Label,Value
MPU0054512,2008,A01,2008 Annual,93.014
MPU0054512,2009,A01,2009 Annual,88.987
MPU0054512,2010,A01,2010 Annual,92.118
MPU0054512,2011,A01,2011 Annual,96.239
MPU0054512,2012,A01,2012 Annual,100.000
MPU0054512,2013,A01,2013 Annual,100.664
MPU0054512,2014,A01,2014 Annual,105.073
MPU0054512,2015,A01,2015 Annual,108.080
MPU0054512,2016,A01,2016 Annual,111.529
MPU0054512,2017,A01,2017 Annual,116.330
MPU0054512,2018,A01,2018 Annual,121.727
MPU0054512,2019,A01,2019 Annual,127.093
MPU0054512,2020,A01,2020 Annual,123.207
