Series ID,Year,Period,Label,Value
MPU0531512,2008,A01,2008 Annual,91.374
MPU0531512,2009,A01,2009 Annual,88.291
MPU0531512,2010,A01,2010 Annual,92.504
MPU0531512,2011,A01,2011 Annual,94.026
MPU0531512,2012,A01,2012 Annual,100.000
MPU0531512,2013,A01,2013 Annual,105.174
MPU0531512,2014,A01,2014 Annual,108.282
MPU0531512,2015,A01,2015 Annual,114.212
MPU0531512,2016,A01,2016 Annual,118.623
MPU0531512,2017,A01,2017 Annual,118.511
MPU0531512,2018,A01,2018 Annual,119.736
MPU0531512,2019,A01,2019 Annual,125.002
MPU0531512,2020,A01,2020 Annual,122.905
