Series ID,Year,Period,Label,Value
MPU0044512,2008,A01,2008 Annual,96.776
MPU0044512,2009,A01,2009 Annual,90.731
MPU0044512,2010,A01,2010 Annual,96.825
MPU0044512,2011,A01,2011 Annual,97.561
MPU0044512,2012,A01,2012 Annual,100.000
MPU0044512,2013,A01,2013 Annual,104.035
MPU0044512,2014,A01,2014 Annual,107.775
MPU0044512,2015,A01,2015 Annual,113.318
MPU0044512,2016,A01,2016 Annual,117.941
MPU0044512,2017,A01,2017 Annual,121.414
MPU0044512,2018,A01,2018 Annual,126.318
MPU0044512,2019,A01,2019 Annual,128.712
MPU0044512,2020,A01,2020 Annual,128.564
