Series ID,Year,Period,Label,Value
MPU0048512,2008,A01,2008 Annual,94.820
MPU0048512,2009,A01,2009 Annual,85.104
MPU0048512,2010,A01,2010 Annual,90.235
MPU0048512,2011,A01,2011 Annual,95.148
MPU0048512,2012,A01,2012 Annual,100.000
MPU0048512,2013,A01,2013 Annual,102.154
MPU0048512,2014,A01,2014 Annual,107.027
MPU0048512,2015,A01,2015 Annual,108.650
MPU0048512,2016,A01,2016 Annual,109.802
MPU0048512,2017,A01,2017 Annual,115.101
MPU0048512,2018,A01,2018 Annual,120.251
MPU0048512,2019,A01,2019 Annual,122.526
MPU0048512,2020,A01,2020 Annual,104.074
