Series ID,Year,Period,Label,Value
MPU0022512,2008,A01,2008 Annual,106.104
MPU0022512,2009,A01,2009 Annual,103.002
MPU0022512,2010,A01,2010 Annual,105.632
MPU0022512,2011,A01,2011 Annual,103.127
MPU0022512,2012,A01,2012 Annual,100.000
MPU0022512,2013,A01,2013 Annual,101.045
MPU0022512,2014,A01,2014 Annual,102.987
MPU0022512,2015,A01,2015 Annual,103.494
MPU0022512,2016,A01,2016 Annual,103.757
MPU0022512,2017,A01,2017 Annual,102.733
MPU0022512,2018,A01,2018 Annual,108.303
MPU0022512,2019,A01,2019 Annual,107.127
MPU0022512,2020,A01,2020 Annual,104.111
