Series ID,Year,Period,Label,Value
MPU0056512,2008,A01,2008 Annual,96.461
MPU0056512,2009,A01,2009 Annual,88.617
MPU0056512,2010,A01,2010 Annual,93.663
MPU0056512,2011,A01,2011 Annual,97.621
MPU0056512,2012,A01,2012 Annual,100.000
MPU0056512,2013,A01,2013 Annual,102.466
MPU0056512,2014,A01,2014 Annual,109.875
MPU0056512,2015,A01,2015 Annual,113.451
MPU0056512,2016,A01,2016 Annual,119.246
MPU0056512,2017,A01,2017 Annual,125.330
MPU0056512,2018,A01,2018 Annual,132.184
MPU0056512,2019,A01,2019 Annual,136.473
MPU0056512,2020,A01,2020 Annual,132.136
