Series ID,Year,Period,Label,Value
MPU0042512,2008,A01,2008 Annual,89.423
MPU0042512,2009,A01,2009 Annual,74.089
MPU0042512,2010,A01,2010 Annual,86.332
MPU0042512,2011,A01,2011 Annual,94.596
MPU0042512,2012,A01,2012 Annual,100.000
MPU0042512,2013,A01,2013 Annual,102.875
MPU0042512,2014,A01,2014 Annual,106.767
MPU0042512,2015,A01,2015 Annual,107.671
MPU0042512,2016,A01,2016 Annual,106.944
MPU0042512,2017,A01,2017 Annual,110.642
MPU0042512,2018,A01,2018 Annual,113.712
MPU0042512,2019,A01,2019 Annual,112.720
MPU0042512,2020,A01,2020 Annual,110.318
