,url,rank,city,growth,workers,company,website,state_l,state_s,revenue,zipcode,industry,metrocode,yrs_on_list,metro,year
0,swanleap,1.0,Madison,75660.8425,49.0,SwanLeap,http://swanleap.com,Wisconsin,WI,98965631.0,53719.0,Logistics & Transportation,"Madison, WI",2.0,"Madison, WI",2018
1,popsockets,2.0,Boulder,71423.762,118.0,PopSockets,http://popsockets.com,Colorado,CO,168837562.0,80301.0,Consumer Products & Services,"Boulder, CO",1.0,"Boulder, CO",2018
2,home-chef,3.0,Chicago,60165.5058,865.0,Home Chef,homechef.com,Illinois,IL,255047839.0,60611.0,Food & Beverage,"Chicago-Naperville-Elgin, IL-IN-WI",1.0,Chicago,2018
3,velocity-global,4.0,Denver,39816.5093,55.0,Velocity Global,http://velocityglobal.com,Colorado,CO,49175942.0,80205.0,Business Products & Services,"Denver-Aurora-Lakewood, CO",1.0,Denver,2018
4,depcom-power,5.0,Scottsdale,38962.9022,104.0,DEPCOM Power,depcompower.com,Arizona,AZ,219574136.0,85258.0,Energy,"Phoenix-Mesa-Scottsdale, AZ",1.0,Phoenix,2018
5,aeronux-airways,6.0,Marietta,20005.239,17.0,Aeronux Airways,aeronux.com,Georgia,GA,21874500.0,30066.0,Logistics & Transportation,"Atlanta-Sandy Springs-Roswell, GA",1.0,Atlanta,2018
6,diamond-assets,7.0,Milton,19717.5129,41.0,Diamond Assets,diamond-assets.com,Wisconsin,WI,43084462.0,53563.0,Computer Hardware,"Janesville, WI",1.0,,2018
7,gforce-life-sciences,8.0,Chicago,16426.6575,13.0,GForce Life Sciences,http://gforcestaff.com,Illinois,IL,16893384.0,60606.0,Human Resources,"Chicago-Naperville-Elgin, IL-IN-WI",1.0,Chicago,2018
8,flexport,8.0,San Francisco,15911.2237,532.0,Flexport,http://flexport.com,California,CA,224745864.0,94102.0,Logistics & Transportation,"San Francisco-Oakland-Hayward, CA",1.0,San Francisco,2018
9,scientistcom,9.0,Solana Beach,15267.7557,49.0,Scientist.com,http://scientist.com,California,CA,50268390.0,92075.0,Health,"San Diego-Carlsbad, CA",2.0,San Diego,2018
10,the-garrett-companies,10.0,Greenwood,14821.8995,40.0,The Garrett Companies,http://thegarrettco.com,Indiana,IN,82070447.0,46143.0,Real Estate,"Indianapolis-Carmel-Anderson, IN",3.0,"Indianapolis, IN",2018
11,dgc-international,11.0,Vienna,14475.5148,55.0,DGC International,dgci.com,Virginia,VA,179707790.0,22182.0,Government Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.0,"Washington, DC",2018
12,exabeam,12.0,San Mateo,14032.4773,153.0,Exabeam,exabeam.com,California,CA,18781497.0,94403.0,Security,"San Francisco-Oakland-Hayward, CA",1.0,San Francisco,2018
13,podium,13.0,Lehi,13645.2287,254.0,Podium,podium.com,Utah,UT,30248850.0,84043.0,Business Products & Services,"Provo-Orem, UT",1.0,"Provo-Orem, UT",2018
14,inova-us,14.0,Key Biscayne,13135.1845,25.0,Inova US,inovaus.com,Florida,FL,39445482.0,33149.0,Advertising & Marketing,"Miami-Fort Lauderdale-West Palm Beach, FL",1.0,Miami,2018
15,adrizer,15.0,Sarasota,12500.7218,24.0,AdRizer,adrizer.com,Florida,FL,16723552.0,34236.0,Software,"Sarasota-Bradenton-Venice, FL",1.0,"Sarasota-Bradenton-Venice, FL",2018
16,welfont,16.0,Tampa,11359.3104,55.0,Welfont,welfont.com,Florida,FL,14055761.0,33602.0,Real Estate,"Tampa-St. Petersburg-Clearwater, FL",1.0,Tampa,2018
17,thinx,17.0,New York City,10924.1379,44.0,THINX,shethinx.com,New York,NY,39556922.0,10001.0,Retail,"New York-Newark-Jersey City, NY-NJ-PA",1.0,New York City,2018
18,draken-international,18.0,Lakeland,10562.3592,200.0,Draken International,drakenintl.com,Florida,FL,30403184.0,33811.0,Government Services,"Lakeland, FL",2.0,,2018
19,calmcom,19.0,San Francisco,10548.7682,25.0,Calm.com,calm.com,California,CA,22347505.0,94105.0,Consumer Products & Services,"San Francisco-Oakland-Hayward, CA",1.0,San Francisco,2018
20,curate-partners,20.0,Stoneham,10056.5729,13.0,Curate Partners,curatepartners.com,Massachusetts,MA,12328556.0,2180.0,Human Resources,"Boston-Cambridge-Newton, MA-NH",1.0,Boston,2018
21,figs,21.0,Los Angeles,9947.5655,45.0,FIGS,wearfigs.com,California,CA,23115831.0,90064.0,Retail,"Los Angeles-Long Beach-Anaheim, CA",1.0,Los Angeles,2018
22,techanax,22.0,Woodbridge,9508.0119,20.0,TechAnax,techanax.com,Virginia,VA,24498797.0,22193.0,Government Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.0,"Washington, DC",2018
23,snacknation,24.0,Culver City,9199.5777,158.0,SnackNation,snacknation.com,California,CA,16890172.0,90232.0,Food & Beverage,"Los Angeles-Long Beach-Anaheim, CA",1.0,Los Angeles,2018
24,brooklinen,25.0,Brooklyn,9154.1993,22.0,Brooklinen,brooklinen.com,New York,NY,47864847.0,11201.0,Retail,"New York-Newark-Jersey City, NY-NJ-PA",1.0,New York City,2018
25,lo70s,26.0,Henderson,9153.7815,9.0,Lo70s,lo70s.com,Nevada,NV,30263382.0,89015.0,Advertising & Marketing,"Las Vegas-Henderson-Paradise, NV",1.0,"Las Vegas, NV",2018
26,funded-today,27.0,South Ogden,8797.7051,55.0,Funded Today,funded.today.com,Utah,UT,11693542.0,84403.0,Advertising & Marketing,"Ogden-Clearfield, UT",1.0,"Ogden-Clearfield, UT",2018
27,progyny,28.0,New York City,8675.3088,89.0,Progyny,progyny.com,New York,NY,48878470.0,10016.0,Health,"New York-Newark-Jersey City, NY-NJ-PA",1.0,New York City,2018
28,shipmonk,29.0,Deerfield Beach,7636.3561,85.0,ShipMonk,shipmonk.com,Florida,FL,10570957.0,33441.0,Logistics & Transportation,"Miami-Fort Lauderdale-West Palm Beach, FL",1.0,Miami,2018
29,powerinbox,30.0,New York City,7534.2742,40.0,PowerInbox,powerinbox.com,New York,NY,18933000.0,10036.0,Software,"New York-Newark-Jersey City, NY-NJ-PA",1.0,New York City,2018
30,a-prentice-ray,31.0,Washington,7525.2456,75.0,A. Prentice Ray,aprapros.com,District of Columbia,DC,9331318.0,20001.0,Government Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.0,"Washington, DC",2018
31,mesosphere,32.0,San Francisco,7507.3908,300.0,Mesosphere,mesosphere.com,California,CA,28833000.0,94102.0,Software,"San Francisco-Oakland-Hayward, CA",1.0,San Francisco,2018
32,big-block-realty,33.0,San Diego,7417.2133,15.0,Big Block Realty,bigblockrealty.com,California,CA,47786549.0,92018.0,Real Estate,"San Diego-Carlsbad, CA",3.0,San Diego,2018
33,live-oak-contracting,34.0,Jacksonville,7382.3323,38.0,Live Oak Contracting,liveoakcontracting.com,Florida,FL,62008931.0,32202.0,Construction,"Jacksonville, FL",1.0,"Jacksonville, FL",2018
34,fundrise,35.0,Washington,7340.404,49.0,Fundrise,fundrise.com,District of Columbia,DC,14732000.0,20009.0,Financial Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.0,"Washington, DC",2018
35,mindoula,36.0,Silver Spring,7310.0257,87.0,Mindoula,mindoula.com,Maryland,MD,7982302.0,20910.0,Health,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.0,"Washington, DC",2018
36,grove-collaborative,37.0,San Francisco,7035.6977,235.0,Grove Collaborative,grove.co,California,CA,45528677.0,94109.0,Consumer Products & Services,"San Francisco-Oakland-Hayward, CA",1.0,San Francisco,2018
37,rockhammer-talent-solutions,38.0,Olney,6952.6697,80.0,Rockhammer Talent Solutions,rockhammerts.com,Maryland,MD,11426947.0,20832.0,Human Resources,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.0,"Washington, DC",2018
38,trupet,39.0,Milford,6754.2932,29.0,Trupet,trudog.com,Ohio,OH,8776237.0,45150.0,Retail,"Cincinnati, OH-KY-IN",1.0,Cincinnati,2018
39,diversified-protection,40.0,Las Vegas,6574.1579,540.0,Diversified Protection,dpcsecurity.com,Nevada,NV,36638524.0,89139.0,Security,"Las Vegas-Henderson-Paradise, NV",1.0,"Las Vegas, NV",2018
40,fox-dealer,41.0,Pasadena,6423.8774,35.0,Fox Dealer,foxdealer.com,California,CA,18707936.0,91105.0,Advertising & Marketing,"Los Angeles-Long Beach-Anaheim, CA",1.0,Los Angeles,2018
41,ecology-mir-group,42.0,Manassas,6395.4156,10.0,Ecology Mir Group,ecomirgroup.com,Virginia,VA,7353395.0,20109.0,Government Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.0,"Washington, DC",2018
42,homesnap,43.0,Rockville,6336.1956,60.0,Homesnap,homesnap.com,Maryland,MD,8463919.0,20852.0,Real Estate,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.0,"Washington, DC",2018
43,gitlab,44.0,San Francisco,6212.944,204.0,GitLab,about.gitlab.com,California,CA,10464336.0,94103.0,Software,"San Francisco-Oakland-Hayward, CA",1.0,San Francisco,2018
