,rank,Profile,name,url,state,revenue,growth,industry,workers,yrs_on_list,previous_workers,metro,city,year
0,1,https://www.inc.com/profile/freestar,Freestar,http://freestar.com,AZ,36.9 Million,36680.3882,Advertising & Marketing,40.0,1,5,Phoenix,Phoenix,2019
1,2,https://www.inc.com/profile/freightwise,FreightWise,http://freightwisellc.com,TN,33.6 Million,30547.9317,Logistics & Transportation,39.0,1,8,Nashville,Brentwood,2019
2,3,https://www.inc.com/profile/ceces-veggie,Cece's Veggie Co.,http://cecesveggieco.com,TX,24.9 Million,23880.4852,Food & Beverage,190.0,1,10,Austin,Austin,2019
3,4,https://www.inc.com/profile/ladyboss,LadyBoss,http://ladyboss.com,NM,32.4 Million,21849.8925,Consumer Products & Services,57.0,1,2,,Albuquerque,2019
4,5,https://www.inc.com/profile/perpay,Perpay,http://perpay.com,PA,22.5 Million,18166.407,Retail,25.0,1,6,Philadelphia,Philadelphia,2019
5,6,https://www.inc.com/profile/cano-health,Cano Health,http://canohealth.com,FL,271.8 Million,14183.4118,Health,742.0,1,18,Miami,Miami,2019
6,7,https://www.inc.com/profile/bear-mattress,Bear Mattress,http://bearmattress.com,NJ,20.5 Million,13480.731,Consumer Products & Services,12.0,1,1,New York City,Hoboken,2019
7,8,https://www.inc.com/profile/connected-solutions-group,Connected Solutions Group,http://csgstore.net,VA,23.3 Million,12700.6588,Telecommunications,72.0,1,1,"Richmond, VA",Mechanicsville,2019
8,9,https://www.inc.com/profile/providence-healthcare-management,Providence Healthcare Management,http://providencehcm.com,OH,225.9 Million,12564.5364,Health,60.0,1,10,Cleveland,Cleveland,2019
9,10,https://www.inc.com/profile/nom,NOM,http://thisisnom.co,CA,21.4 Million,11996.2964,Advertising & Marketing,37.0,1,5,Los Angeles,Los Angeles,2019
10,11,https://www.inc.com/profile/nuleaf-naturals,NuLeaf Naturals,nuleafnaturals.com,CO,13.9 Million,11949.179,Consumer Products & Services,40.0,1,2,Denver,Denver,2019
11,12,https://www.inc.com/profile/urgently,Urgently,geturgently.com,VA,30.3 Million,11632.8771,Logistics & Transportation,226.0,1,18,"Washington, DC",VIenna,2019
12,13,https://www.inc.com/profile/nutpods,nutpods,http://nutpods.com,WA,19.1 Million,11622.5291,Food & Beverage,23.0,1,3,Seattle,Bellevue,2019
13,14,https://www.inc.com/profile/yieldstreet,YieldStreet,http://yieldstreet.com,NY,19.1 Million,10561.7147,Financial Services,66.0,1,10,New York City,New York,2019
14,15,https://www.inc.com/profile/mutesix,MuteSix,http://mutesix.com,CA,17.3 Million,10175.7553,Advertising & Marketing,109.0,3,8,Los Angeles,Los Angeles,2019
